	plateID	well	CONCuM	Summary
0	plate_1	A01	L-glutamate: 10 mM & sodium arsenite: 0 mM	Growth with 10 mM L-glutamate supplementation, no sodium arsenite.
1	plate_1	A02	L-glutamate: 10 mM & sodium arsenite: 0.5 mM	Growth with 10 mM L-glutamate and 0.5 mM sodium arsenite.
2	plate_1	A03	L-glutamate: 0 mM & sodium arsenite: 0.5 mM	Growth with 0.5 mM sodium arsenite, no glutamate supplementation.
3	plate_1	A04	L-glutamate: 5 mM & sodium arsenite: 0.5 mM	Growth with 5 mM L-glutamate and 0.5 mM sodium arsenite.
4	plate_1	A05	Media control	
5	plate_1	A06	L-glutamate: 5 mM & sodium arsenite: 0 mM	Growth with 5 mM L-glutamate supplementation, no sodium arsenite.
6	plate_1	A07	L-glutamate: 10 mM & sodium arsenite: 1 mM	Growth with 10 mM L-glutamate and 1 mM sodium arsenite.
7	plate_1	A08	L-glutamate: 5 mM & sodium arsenite: 1 mM	Growth with 5 mM L-glutamate and 1 mM sodium arsenite.
8	plate_1	A09	Media control	
9	plate_1	A10	L-glutamate: 10 mM & sodium arsenite: 0.5 mM	Growth with 10 mM L-glutamate and 0.5 mM sodium arsenite.
10	plate_1	A11	L-glutamate: 0 mM & sodium arsenite: 1 mM	Growth with 1 mM sodium arsenite, no glutamate supplementation.
11	plate_1	A12	L-glutamate: 0 mM & sodium arsenite: 0 mM	Baseline growth without any supplementation or treatment.
12	plate_1	B01	L-glutamate: 5 mM & sodium arsenite: 1 mM	Growth with 5 mM L-glutamate and 1 mM sodium arsenite.
13	plate_1	B02	L-glutamate: 10 mM & sodium arsenite: 0 mM	Growth with 10 mM L-glutamate supplementation, no sodium arsenite.
14	plate_1	B03	Media control	
15	plate_1	B04	L-glutamate: 0 mM & sodium arsenite: 0 mM	Baseline growth without any supplementation or treatment.
16	plate_1	B05	L-glutamate: 10 mM & sodium arsenite: 1 mM	Growth with 10 mM L-glutamate and 1 mM sodium arsenite.
17	plate_1	B06	L-glutamate: 10 mM & sodium arsenite: 1 mM	Growth with 10 mM L-glutamate and 1 mM sodium arsenite.
18	plate_1	B07	L-glutamate: 5 mM & sodium arsenite: 0.5 mM	Growth with 5 mM L-glutamate and 0.5 mM sodium arsenite.
19	plate_1	B08	L-glutamate: 5 mM & sodium arsenite: 0.5 mM	Growth with 5 mM L-glutamate and 0.5 mM sodium arsenite.
20	plate_1	B09	L-glutamate: 0 mM & sodium arsenite: 0.5 mM	Growth with 0.5 mM sodium arsenite, no glutamate supplementation.
21	plate_1	B10	L-glutamate: 5 mM & sodium arsenite: 0 mM	Growth with 5 mM L-glutamate supplementation, no sodium arsenite.
22	plate_1	B11	L-glutamate: 10 mM & sodium arsenite: 0.5 mM	Growth with 10 mM L-glutamate and 0.5 mM sodium arsenite.
23	plate_1	B12	L-glutamate: 0 mM & sodium arsenite: 1 mM	Growth with 1 mM sodium arsenite, no glutamate supplementation.
24	plate_1	C01	L-glutamate: 10 mM & sodium arsenite: 1 mM	Growth with 10 mM L-glutamate and 1 mM sodium arsenite.
25	plate_1	C02	Media control	
26	plate_1	C03	L-glutamate: 0 mM & sodium arsenite: 0 mM	Baseline growth without any supplementation or treatment.
27	plate_1	C04	L-glutamate: 0 mM & sodium arsenite: 0.5 mM	Growth with 0.5 mM sodium arsenite, no glutamate supplementation.
28	plate_1	C05	L-glutamate: 10 mM & sodium arsenite: 0.5 mM	Growth with 10 mM L-glutamate and 0.5 mM sodium arsenite.
29	plate_1	C06	L-glutamate: 5 mM & sodium arsenite: 0.5 mM	Growth with 5 mM L-glutamate and 0.5 mM sodium arsenite.
30	plate_1	C07	L-glutamate: 5 mM & sodium arsenite: 1 mM	Growth with 5 mM L-glutamate and 1 mM sodium arsenite.
31	plate_1	C08	Media control	
32	plate_1	C09	L-glutamate: 5 mM & sodium arsenite: 0 mM	Growth with 5 mM L-glutamate supplementation, no sodium arsenite.
33	plate_1	C10	L-glutamate: 0 mM & sodium arsenite: 1 mM	Growth with 1 mM sodium arsenite, no glutamate supplementation.
34	plate_1	C11	L-glutamate: 0 mM & sodium arsenite: 0.5 mM	Growth with 0.5 mM sodium arsenite, no glutamate supplementation.
35	plate_1	C12	L-glutamate: 10 mM & sodium arsenite: 0 mM	Growth with 10 mM L-glutamate supplementation, no sodium arsenite.
